,barrio_original,barrio_sin_est,nom_match,lat,lon
1963,IGUAZ E-1,IGUAZ,CHIGUAZA RURAL,,
1964,ILARCO E-11,ILARCO ,BILBAO,,
1965,IMPERIAL E-11,IMPERIAL ,IBERIA,,
1966,INDUMA E-16,INDUMA ,INGEMAR,,
1967,INDUSTRIAL CENTENARIO E-16,INDUSTRIAL CENTENARIO ,INDUSTRIAL CENTENARIO,,
1968,INDUSTRIAL CENTENARIO II SECTOR E-16,INDUSTRIAL CENTENARIO II SECTOR ,INDUSTRIAL CENTENARIO,,
1969,INDUSTRIAL CENTENARIO III SECTOR E-16,INDUSTRIAL CENTENARIO III SECTOR ,INDUSTRIAL CENTENARIO,,
1970,INDUSTRIAL E-16,INDUSTRIAL ,INDUSTRIAL CENTENARIO,,
1971,INDUSTRIAL EL PARAISO E-16,INDUSTRIAL EL PARAISO ,INDUSTRIAL CENTENARIO,,
1972,INDUSTRIAL MONTEVIDEO E-9,INDUSTRIAL MONTEVIDEO,INDUSTRIAL CENTENARIO,,
1973,INDUSTRIAL PARAVAS E-10,INDUSTRIAL PARAVAS ,INDUSTRIAL CENTENARIO,,
1974,INDUSTRIAL PENSILVANIA E-16,INDUSTRIAL PENSILVANIA ,INDUSTRIAL CENTENARIO,,
1975,INDUSTRIAL PHILIPS E-16,INDUSTRIAL PHILIPS ,INDUSTRIAL CENTENARIO,,
1976,INDUSTRIAL PUENTE ARANDA E-16,INDUSTRIAL PUENTE ARANDA ,INDUSTRIAL CENTENARIO,,
1977,INDUSTRIAL SAN MARTIN E-16,INDUSTRIAL SAN MARTIN ,INDUSTRIAL CENTENARIO,,
1978,INES ELVIRA E-19,INES ELVIRA ,ISLANDIA,,
1979,INESUR (URB. LOS MOLINOS) E-18,INESUR (URB. LOS MOLINOS) ,,,
1980,INGEMAR E-2,INGEMAR,INGEMAR,,
1981,INGLES E-18,INGLES ,INGLES,,
1982,INGRUMA E-10,INGRUMA ,INGEMAR,,
1983,INSTITUTO ROOSELVELT E-3,INSTITUTO ROOSELVELT,,,
1984,INSTITUTO SAN JOSE E-12,INSTITUTO SAN JOSE ,,,
1985,INSTITUTO SAN JOSÉ E-12,INSTITUTO SAN JOSÉ ,,,
1986,INTEGRAL INDIA CATALINA E-19,INTEGRAL INDIA CATALINA ,ENGATIVA ZONA URBANA,,
1987,INTERINDUSTRIAL E-9,INTERINDUSTRIAL,INTERINDUSTRIAL,,
1988,INTERNACIONAL (ELCHITAL I SECTOR) E-9,INTERNACIONAL (ELCHITAL I SECTOR),PARQUE NACIONAL ORIENTAL,,
1989,INTERNACIONAL E-9,INTERNACIONAL,INTERINDUSTRIAL,,
1990,INVACION M-19 E-19,INVACION M-19 ,,,
1991,INÉS ELVIRA E-19,INÉS ELVIRA ,ISLANDIA,,
1992,IRAMA E-11,IRAMA ,IRAGUA,,
1993,ISABELA I E-10,ISABELA I ,SIBERIA,,
1994,ISABELA II E-10,ISABELA II ,PRIMAVERA II,,
1995,ISLA DE MAYORCA CON BESTA E-12,ISLA DE MAYORCA CON BESTA ,ISLA DEL SOL,,
1996,ISLA DEL SOL E-19,ISLA DEL SOL ,ISLA DEL SOL,,
1997,ISLA DEL SOL E-6,ISLA DEL SOL,ISLA DEL SOL,,
1998,ISLANDIA E-7,ISLANDIA,ISLANDIA,,
1999,ISLANDIA II SECTOR E-7,ISLANDIA II SECTOR,ISLANDIA,,
2000,ISLANDIA III SECTOR E-7,ISLANDIA III SECTOR,ISLANDIA,,
2001,ISMAEL PERDOMO E-19,ISMAEL PERDOMO ,ISMAEL PERDOMO,,
2002,ISRAELITAS E-7,ISRAELITAS,GALERIAS,,
2003,IZCAY E-8,IZCAY,,,
2004,JABOQUE E-10,JABOQUE ,JACQUELINE,,
2005,JACQUELINE E-8,JACQUELINE,JACQUELINE,,
2006,JAIME BERMEO E-11,JAIME BERMEO ,ISMAEL PERDOMO,,
2007,JAKELIN E-8,JAKELIN,JACQUELINE,,
2008,JAQUELINE E-7,JAQUELINE,JACQUELINE,,
2009,JARDIN DE SAN JORGE E-18,JARDIN DE SAN JORGE ,JUAN REY SUR,,
2010,JARDIN E-7,JARDIN,EL JARDIN,,
2011,JARDIN NORTE E-1,JARDIN NORTE,JARDIN BOTANICO,,
2012,JARDIN SAN JORGE E-18,JARDIN SAN JORGE ,JARDIN BOTANICO,,
2013,JARDINES DE LA LIBERTAD E-7,JARDINES DE LA LIBERTAD,VEREDA EL TINTAL URBANO,,
2014,JARDINES DE ORIENTE E-1,JARDINES DE ORIENTE,JARDIN BOTANICO,,
2015,JARDINES DEL APOGEO E-7,JARDINES DEL APOGEO,SAN JOSE DEL PRADO,,
2016,JARDÍN DE SAN JORGE E-18,JARDÍN DE SAN JORGE ,JUAN REY SUR,,
2017,JARDÍN E-7,JARDÍN,JARDIN BOTANICO,,
2018,JARDÍN NORTE E-1,JARDÍN NORTE,JARDIN BOTANICO,,
2019,JARDÍN SAN JORGE E-18,JARDÍN SAN JORGE ,JUAN JOSE RONDON,,
2020,JAVA I SECTOR E-11,JAVA I SECTOR ,JORGE GAITAN CORTES,,
2021,JAVA II SECTOR E-11,JAVA II SECTOR ,VILLA NELLY III SECTOR,,
2022,JAVA II SECTOR LOTES 1 Y 2 E-11,JAVA II SECTOR LOTES 1 Y 2 ,,,
2023,JAZMIN OCCIDENTAL E-8,JAZMIN OCCIDENTAL,CAMPIN OCCIDENTAL,,
2024,JAZMÍN OCCIDENTAL E-8,JAZMÍN OCCIDENTAL,CAMPIN OCCIDENTAL,,
2025,JERICO E-9,JERICO,EL RINCON,,
2026,JERUSALEN E-19,JERUSALEN ,JERUSALEN,,
2027,JERUSALÉN E-19,JERUSALÉN ,JERUSALEN,,
2028,JIMENEZ DE QUEZADA E-7,JIMENEZ DE QUEZADA,JIMENEZ DE QUESADA,,
2029,JIMENEZ DE QUEZADA II SECTOR E-7,JIMENEZ DE QUEZADA II SECTOR,JIMENEZ DE QUESADA II SECTOR,,
