,bar_orig,loc_match
587,SANTA MONICA,ENGATIVA
588,OLARTE,USME
589,COMUNEROS,USME
590,SANTA CECILIA,FONTIBON
591,GUADALUPE,CIUDAD BOLIVAR
592,OSPINA PEREZ,PUENTE ARANDA
593,EL RETAZO,BOSA
594,LAS GUACAMAYAS IV,SAN CRISTOBAL
595,CORABASTOS,KENNEDY
596,EL TRIANGULO,SAN CRISTOBAL
597,TIBAQUE III,SAN CRISTOBAL
598,LAS GUACAMAYAS II,SAN CRISTOBAL
599,EL MUELLE,ENGATIVA
600,PARAMO,USAQUEN
601,BOSQUE DE PINOS III,USAQUEN
602,LOS ROSALES,CHAPINERO
603,EL BAGAZAL,CHAPINERO
604,EL REFUGIO,CHAPINERO
605,MIRANDELA,SUBA
606,PARIS,ENGATIVA
607,SANTA HELENITA,ENGATIVA
608,REMANSO,PUENTE ARANDA
609,SANTA LIBRADA,USME
610,MARIA CANO,CIUDAD BOLIVAR
611,LAS BRISAS,CIUDAD BOLIVAR
612,PARAMO IV,USAQUEN
613,CIUDAD HAYUELOS,FONTIBON
614,SAN FELIPE,BARRIOS UNIDOS
615,LOS LIBERTADORES,SAN CRISTOBAL
616,PROVIVIENDA ORIENTAL,KENNEDY
617,BOCHICA,PUENTE ARANDA
618,PROVIVIENDA,KENNEDY
619,TEJAR,PUENTE ARANDA
620,AUTOPISTA SUR,PUENTE ARANDA
621,LA TORRE,CIUDAD BOLIVAR
622,CASABLANCA SUBA URBANO,SUBA
623,CASABLANCA SUBA II,SUBA
624,NUEVA ZELANDIA,SUBA
625,TUNAL ORIENTAL,TUNJUELITO
626,ARABIA,CIUDAD BOLIVAR
627,SANTA HELENA,SUBA
628,CIUDAD LONDRES I,SAN CRISTOBAL
629,VERGEL OCCIDENTAL,KENNEDY
630,SANTA ROSA ALTA,SUMAPAZ
631,SAN LUIS ALTOS DEL CABO RURAL II,CHAPINERO
632,LA CAMPINA,KENNEDY
633,GRAN BRITALIA I,KENNEDY
634,RINCON DE SANTA INES,SUBA
635,LA ESTANCIA,CIUDAD BOLIVAR
636,TOCAIMITA SUR,USME
637,DESARROLLO BRAZUELOS,USME
638,EL MOCHUELO III,CIUDAD BOLIVAR
639,ESCUELA DE CARABINEROS,SUBA
640,JOSE JOAQUIN VARGAS,BARRIOS UNIDOS
641,LAS FLORES,SUBA
642,TAQUECITOS,SUMAPAZ
643,HOYA TEUSACA,SANTA FE
644,LAS GUACAMAYAS III,SAN CRISTOBAL
645,TUNA BAJA,SUBA
646,TIBABUYES,SUBA
647,LAS MERCEDES SUBA RURAL,SUBA
648,EL GUAVIO,SANTA FE
649,BOSQUE DE LOS ALPES,SAN CRISTOBAL
650,PARQUE NACIONAL ORIENTAL,SANTA FE
651,EL ROCIO,SANTA FE
652,LOS ALPES,SAN CRISTOBAL
653,EL NOGAL,CHAPINERO
654,EGIPTO,CANDELARIA
655,ESPARTILLAL,CHAPINERO
656,ALCAZARES NORTE,BARRIOS UNIDOS
657,CALVO SUR,SAN CRISTOBAL
